dim1	dim2	Cluster
13.944446563720703	43.56901168823242	37
25.923280715942383	32.08121109008789	32
49.860530853271484	-37.834224700927734	14
-47.25474166870117	-35.28667449951172	30
10.251370429992676	61.46373748779297	18
28.891098022460938	42.67340087890625	17
39.979454040527344	39.01992416381836	22
13.034608840942383	-22.666467666625977	21
29.673372268676758	-7.1912407875061035	39
10.211220741271973	-13.71027946472168	21
64.32378387451172	29.23637580871582	9
71.21540069580078	-61.216129302978516	11
88.15872955322266	-46.47629165649414	22
2.7854020595550537	-72.86055755615234	29
20.795127868652344	51.87939453125	9
-90.73893737792969	-34.69904708862305	22
13.288434982299805	75.32170867919922	4
36.99030303955078	80.1489028930664	3
16.2255802154541	17.17367172241211	22
79.20570373535156	-57.28792190551758	42
9.372758865356445	78.97356414794922	4
-2.9292092323303223	-37.14737319946289	1
54.035858154296875	-47.4633903503418	14
28.419076919555664	91.07677459716797	10
-11.469911575317383	-14.50827693939209	21
2.156672716140747	56.01313400268555	31
16.68667984008789	-31.106786727905273	46
-6.293519020080566	41.90373229980469	13
31.529985427856445	24.257587432861328	32
-33.019935607910156	43.28480529785156	23
-14.186656951904297	-11.566280364990234	21
69.34585571289062	12.703442573547363	44
32.43388748168945	40.31914520263672	22
29.337871551513672	96.21544647216797	10
39.05546569824219	28.226701736450195	22
14.734978675842285	9.224178314208984	22
1.6518975496292114	-11.144253730773926	2
74.17108154296875	43.05813217163086	22
26.65105438232422	-92.174560546875	36
-39.34218978881836	30.86014175415039	22
11.233941078186035	21.37955093383789	37
-11.366600036621094	12.48715877532959	22
23.618022918701172	14.860447883605957	9
14.889101028442383	31.007104873657227	22
48.86404037475586	27.749839782714844	9
-42.80131530761719	-9.165079116821289	22
-14.304051399230957	-15.143465042114258	21
18.8278751373291	100.31742095947266	47
-69.53630828857422	4.630977153778076	5
-37.20881271362305	-46.343223571777344	30
0.33293819427490234	26.036611557006836	7
5.225609302520752	-55.71920394897461	7
7.776552677154541	1.3311169147491455	2
52.87063217163086	72.11885070800781	18
34.24277877807617	20.032075881958008	22
39.764835357666016	13.1367769241333	13
14.687832832336426	-30.10938835144043	46
51.74302291870117	24.747447967529297	9
-63.27886962890625	36.08869552612305	21
-55.93364334106445	46.07087707519531	22
57.70148468017578	-77.67587280273438	26
2.811697244644165	-66.75891876220703	43
49.2836799621582	32.18718338012695	9
22.241092681884766	5.77551794052124	17
